Name,Location,Country,Total_Amount, year,Type 
KIERAN HEARNE LIMITED,"CARRICK-ON-SUIR, Waterford,",IE," € 75,594.62 ",2013,Farm Subsidary
GEORGE LEAHY LTD,"Kilkenny,",IE," € 75,549.86 ",2013,Farm Subsidary
MISSIONARIES OF THE S HEART,"Cork,",IE," € 75,243.20 ",2013,Farm Subsidary
BALLYNOB FARM LTD,"Waterford,",IE," € 74,763.34 ",2013,Farm Subsidary
JOHN SULLIVAN FARMS LTD,"Waterford,",IE," € 73,481.95 ",2013,Farm Subsidary
CONDELL FARMS LIMITED,"Monaghan,",IE," € 73,126.24 ",2013,Farm Subsidary
P O'CONNELL FARMS LTD,"PORTLAOISE, Laois,",IE," € 72,701.22 ",2013,Farm Subsidary
PETER KEOGH & SONS LTD,"OLDTOWN, Dublin,",IE," € 71,628.46 ",2013,Farm Subsidary
SESKIN FARM LTD,"Carlow,",IE," € 71,524.70 ",2013,Farm Subsidary
ARDNACRANEY FARMS LIMITED,"Longford,",IE," € 70,957.38 ",2013,Farm Subsidary
JAMES P LAWLER LTD,"DUNLAVIN, Wicklow,",IE," € 70,721.94 ",2013,Farm Subsidary
M & M O'CONNELL FARM LTD,"Tipperary,",IE," € 70,719.41 ",2013,Farm Subsidary
BRIDGEFIELD FARM LTD,"BRUFF, Limerick,",IE," € 70,046.14 ",2013,Farm Subsidary
BLASCAOID MOR TEO,"Kerry,",IE," € 69,626.88 ",2013,Farm Subsidary
JAMEL FARM LIMITED,"Tipperary,",IE," € 68,818.83 ",2013,Farm Subsidary
WOODSGIFT FARM LTD,"Kilkenny,",IE," € 68,565.50 ",2013,Farm Subsidary
WEXFORD LAND HOLDING,"Wexford,",IE," € 68,152.49 ",2013,Farm Subsidary
LOUGH FEA LIMITED,"Monaghan,",IE," € 67,911.43 ",2013,Farm Subsidary
GOLD RIVER FARMS LTD,"Wicklow,",IE," € 67,463.09 ",2013,Farm Subsidary
HALCYON FARM ENTERPRISES LTD,"Offaly,",IE," € 66,988.31 ",2013,Farm Subsidary
SEED TECHNOLOGY,"Kilkenny,",IE," € 66,618.50 ",2013,Farm Subsidary
BANDON CO OP,"Cork,",IE," € 66,546.73 ",2013,Farm Subsidary
BALLYHEADY FARMS LIMITED,"Cavan,",IE," € 66,221.08 ",2013,Farm Subsidary
UNIVERSITY COLLEGE DUBLIN,"NEWCASTLE, Dublin,",IE," € 65,937.14 ",2013,Farm Subsidary
ADAMSTOWN FARM LTD,"TULLAROAN, Kilkenny,",IE," € 65,508.96 ",2013,Farm Subsidary
DRUMHILLS FARM LTD,"CAPPAGH, Waterford,",IE," € 65,440.60 ",2013,Farm Subsidary
CLASHHILL LIMITED,"Tipperary,",IE," € 65,193.49 ",2013,Farm Subsidary
P B YARD FARM LIMITED,"Kerry,",IE," € 64,510.81 ",2013,Farm Subsidary
TEAGASC RESEARCH FARM,"TIPPERARY, Tipperary,",IE," € 63,907.32 ",2013,Farm Subsidary
W I HUTCHINSON LIMITED,"KELLS, Kilkenny,",IE," € 63,637.67 ",2013,Farm Subsidary
DERRYLAMOGUE FARMS LTD,"Laois,",IE," € 63,385.24 ",2013,Farm Subsidary
P J & OLIVER MORKAN LTD,"CLOUGHJORDAN, Tipperary,",IE," € 62,936.00 ",2013,Farm Subsidary
SNOWY VALLEY FARMING LTD,"Mayo,",IE," € 62,874.64 ",2013,Farm Subsidary
THE KNOCKMAROON ESTATES CO,"Dublin,",IE," € 62,152.36 ",2013,Farm Subsidary
BAWNHILL DAIRY LIMITED,"COLLON, Meath,",IE," € 61,997.16 ",2013,Farm Subsidary
HOGG ENTERPRISES LIMITED,"BUNCLODY, Wexford,",IE," € 61,915.78 ",2013,Farm Subsidary
BROWNHALL ESTATE,"Donegal,",IE," € 61,884.11 ",2013,Farm Subsidary
JODIGATE LTD,"Kilkenny,",IE," € 61,302.72 ",2013,Farm Subsidary
BALLYDURN FARMS LTD,"Waterford,",IE," € 61,190.65 ",2013,Farm Subsidary
LUGDOON FARMS LIMITED,"Sligo,",IE," € 61,021.87 ",2013,Farm Subsidary
JAMES M FARRELL FARMS LTD,"CASHEL, Tipperary,",IE," € 60,769.10 ",2013,Farm Subsidary
RICHARD HOWLEY LTD,"Kilkenny,",IE," € 60,694.32 ",2013,Farm Subsidary
TOM MURPHY FARM LTD,"Kilkenny,",IE," € 60,359.01 ",2013,Farm Subsidary
NC TUTHILL LTD,"BANDON, Cork,",IE," € 60,230.16 ",2013,Farm Subsidary
JOHN KELLY MEATS LTD,"Clare,",IE," € 60,100.39 ",2013,Farm Subsidary
BRENDAN L BUCKLEY LTD,"Waterford,",IE," € 60,030.80 ",2013,Farm Subsidary
CLOGGA FARMS LTD,"MOONCOIN, Kilkenny,",IE," € 59,972.25 ",2013,Farm Subsidary
W P KEELING,"Dublin,",IE," € 59,546.48 ",2013,Farm Subsidary
R & R FARM LIMITED,"CASTLEMARTYR, Cork,",IE," € 59,373.53 ",2013,Farm Subsidary
MARK MCCORMACK FARM LTD,"KILCULLEN, Kildare,",IE," € 58,688.37 ",2013,Farm Subsidary
LIAM TOBIN FARM LTD,"Tipperary,",IE," € 57,982.96 ",2013,Farm Subsidary
NOEL M KENNEDY AGRI LTD,"Tipperary,",IE," € 56,259.32 ",2013,Farm Subsidary
LYNCHS OF ARDEE POTATOES LTD,"Louth,",IE," € 54,779.34 ",2013,Farm Subsidary
NESTOR FARMS LTD,"Mayo,",IE," € 54,461.78 ",2013,Farm Subsidary
COULTRY FARMING LIMITED,"Mayo,",IE," € 53,731.29 ",2013,Farm Subsidary
GENERAL IMPORTERS LIMITED,"Wicklow,",IE," € 53,366.13 ",2013,Farm Subsidary
J & P KEHOE FARMS LTD,"ENNISCORTHY, Wexford,",IE," € 53,301.39 ",2013,Farm Subsidary
SKYLARK FARM LIMITED,"Louth,",IE," € 52,635.27 ",2013,Farm Subsidary
JOHN LANE FARM LTD,"ARDAGH, Limerick,",IE," € 52,518.53 ",2013,Farm Subsidary
JCK DAIRIES LTD,"Monaghan,",IE," € 51,933.84 ",2013,Farm Subsidary
JOHN HORAN FARMING LTD,"Kerry,",IE," € 51,865.50 ",2013,Farm Subsidary
GARNAMANAGH FARMS LTD,"FRESHFORD, Kilkenny,",IE," € 51,642.64 ",2013,Farm Subsidary
AIDAN REARDON LTD,"Cork,",IE," € 50,715.36 ",2013,Farm Subsidary
MICHAEL O'CARROLL FARM LTD,"Kilkenny,",IE," € 50,598.65 ",2013,Farm Subsidary
DOMINICAN FARM & ECOLGY CTRE,"Wicklow,",IE," € 50,548.69 ",2013,Farm Subsidary
JOSEPH & GER KIRWAN FARM LTD,"Offaly,",IE," € 50,293.85 ",2013,Farm Subsidary
PHILIP A KENNEDY LTD,"TEMPLEMORE, Tipperary,",IE," € 50,052.77 ",2013,Farm Subsidary
KILLAGHTEE LIMITED,"DUNKINEELY, Donegal,",IE," € 49,838.00 ",2013,Farm Subsidary
FLETCHERSTOWN DAIRIES LTD,"Meath,",IE," € 49,742.89 ",2013,Farm Subsidary
JK HEFFERNAN LIMITED,"Tipperary,",IE," € 49,644.80 ",2013,Farm Subsidary
LAHESSERAGH FARM LIMITED,"Tipperary,",IE," € 49,563.94 ",2013,Farm Subsidary
FINN VALLEY LSTOCK PRODUCERS,"Donegal,",IE," € 49,189.43 ",2013,Farm Subsidary
TOURNAGEEHA FARM LTD,"Waterford,",IE," € 48,872.32 ",2013,Farm Subsidary
CHARLES MADDEN FARM LTD,"MOATE, Westmeath,",IE," € 48,668.27 ",2013,Farm Subsidary
FITZPATRICK ASSOCIATES,"RANELAGH DUBLIN 6, Dublin,",IE," € 48,400.50 ",2013,Farm Subsidary
WILLIAM O'LEARY FARM LTD,"ARDFERT, Kerry,",IE," € 48,396.04 ",2013,Farm Subsidary
E& R STANLEY & M STANLEY LTD,"Offaly,",IE," € 48,065.35 ",2013,Farm Subsidary
REARY FARM LIMITED,"CLONASLEE, Laois,",IE," € 47,920.58 ",2013,Farm Subsidary
CAMPHILL COMMUNITY,"Monaghan,",IE," € 47,887.31 ",2013,Farm Subsidary
MICHAEL POWER FARMS LTD,"Kilkenny,",IE," € 47,857.83 ",2013,Farm Subsidary
SEAMUS HUNT FARM LTD,"LIXNAW, Kerry,",IE," € 47,800.82 ",2013,Farm Subsidary
J AND E HALL ENTERPRISES LTD,"NEWBLISS, Monaghan,",IE," € 47,739.74 ",2013,Farm Subsidary
CHRIS MCCORMACK FARM LTD,"KILCULLEN, Kildare,",IE," € 47,027.91 ",2013,Farm Subsidary
ARDKEENA AGRI SERVICES LTD,"Cork,",IE," € 46,901.77 ",2013,Farm Subsidary
THURLES FRESH MILK LIMITED,"Tipperary,",IE," € 46,647.81 ",2013,Farm Subsidary
MERITVEST CO,"Wicklow,",IE," € 46,606.37 ",2013,Farm Subsidary
FENNAGRI LIMITED,"CARLOW, Carlow,",IE," € 46,587.51 ",2013,Farm Subsidary
PAT & SARAH MURPHY LTD,"MADDOXTOWN, Kilkenny,",IE," € 45,275.94 ",2013,Farm Subsidary
FORTFIELD AGRI LTD,"CROAGH, Limerick,",IE," € 44,995.24 ",2013,Farm Subsidary
RICHARD STARRETT LTD,"Donegal,",IE," € 44,868.58 ",2013,Farm Subsidary
JW DAIRY FARM LTD,"BANDON, Cork,",IE," € 44,687.01 ",2013,Farm Subsidary
HOLDEN DAIRY FARMS LTD,"MULLINAVAT, Kilkenny,",IE," € 44,612.61 ",2013,Farm Subsidary
DILLON LIVESTOCK,"Dublin,",IE," € 44,344.23 ",2013,Farm Subsidary
PATRICK CLANCY FARM LIMITED,"Tipperary,",IE," € 44,339.83 ",2013,Farm Subsidary
RAYMOND NYHAN LTD,"BANDON, Cork,",IE," € 43,974.63 ",2013,Farm Subsidary
CAHIRUAN FARMS LTD,"Waterford,",IE," € 43,934.14 ",2013,Farm Subsidary
WESTERN FARMING CO OP,"CASTLEBAR, Mayo,",IE," € 43,890.94 ",2013,Farm Subsidary
JAMES O'SHEA FARMING LIMITED,"Tipperary,",IE," € 43,723.07 ",2013,Farm Subsidary
J & P YOUNG LTD,"Kildare,",IE," € 43,613.92 ",2013,Farm Subsidary
DUNROSS DEVELOPMENTS LTD,"Donegal,",IE," € 43,413.31 ",2013,Farm Subsidary
OAKLINE PROPERTY LTD,"Louth,",IE," € 43,168.27 ",2013,Farm Subsidary
LOUGH REE FARMS LIMITED,"ATHLONE, Westmeath,",IE," € 43,137.22 ",2013,Farm Subsidary
CLASHNEVIN FARM LIMITED,"NENAGH, Tipperary,",IE," € 42,965.26 ",2013,Farm Subsidary
CARREFOUR LIMOUSIN LTD CO,"Offaly,",IE," € 42,709.37 ",2013,Farm Subsidary
RATHCULBIN FARMS LTD,"KELLS, Kilkenny,",IE," € 42,577.06 ",2013,Farm Subsidary
CARROWMILL DAIRY LIMITED,"Galway,",IE," € 42,556.66 ",2013,Farm Subsidary
CALLAN VIEW FARM LTD,"Clare,",IE," € 42,527.55 ",2013,Farm Subsidary
COUNTRY WIDE PROVIDENT,"Donegal,",IE," € 42,443.86 ",2013,Farm Subsidary
PHELAN DAIRY FARMS LTD,"Waterford,",IE," € 42,242.56 ",2013,Farm Subsidary
JOHN MCELROY FARM LIMITED,"Louth,",IE," € 41,918.90 ",2013,Farm Subsidary
GARNISH ISLAND LTD,"Kildare,",IE," € 41,697.18 ",2013,Farm Subsidary
MICHAEL P MURPHY LTD,"Cork,",IE," € 41,657.68 ",2013,Farm Subsidary
COLDCHAIN FOOD DISTRIBUT LTD,"Dublin,",IE," € 41,425.86 ",2013,Farm Subsidary
PAT & BRENDA HOGAN LTD,"MOONCOIN, Kilkenny,",IE," € 41,180.78 ",2013,Farm Subsidary
E & E POWER LTD,"Wexford,",IE," € 40,944.78 ",2013,Farm Subsidary
BILL J KELLY,"Waterford,",IE," € 40,914.28 ",2013,Farm Subsidary
FEEGEVLA FARMS LIMITED,"CARRICKMACROSS, Monaghan,",IE," € 40,629.89 ",2013,Farm Subsidary
OXMANTOWN SETTLEMENT TRUST,"Offaly,",IE," € 40,489.39 ",2013,Farm Subsidary
ALAN MULLIGAN CONTRACTS LTD,"Meath,",IE," € 40,383.01 ",2013,Farm Subsidary
WARD WASTE PRODUCTS LTD,"Limerick,",IE," € 40,355.44 ",2013,Farm Subsidary
TATTYREAGH LIVESTOCK LIMITED,"CASTLEBLANEY, Monaghan,",IE," € 39,930.63 ",2013,Farm Subsidary
CONLANSTOWN FARM LTD,"RATHANGAN, Kildare,",IE," € 39,898.68 ",2013,Farm Subsidary
MPJG FARMS LIMITED,"Offaly,",IE," € 39,865.06 ",2013,Farm Subsidary
POWERSCOURT ESTATES LTD,"Wicklow,",IE," € 39,758.90 ",2013,Farm Subsidary
HARTE DAIRIES LTD,"BANDON, Cork,",IE," € 39,450.95 ",2013,Farm Subsidary
O'BRIEN NEWCASTLE LIMITED,"Tipperary,",IE," € 39,280.00 ",2013,Farm Subsidary
UNITED HUNT CLUB,"Cork,",IE," € 38,629.19 ",2013,Farm Subsidary
KENNEDY LIVESTOCK LIMITED,"Galway,",IE," € 38,224.80 ",2013,Farm Subsidary
TOMMY MORRISSEY FARMING LTD,"Galway,",IE," € 38,077.62 ",2013,Farm Subsidary
FLYNN BROS DAIRIES LTD,"ENFIELD, Meath,",IE," € 38,027.18 ",2013,Farm Subsidary
SEAMUS KELLY FARMING LTD,"Sligo,",IE," € 38,020.01 ",2013,Farm Subsidary
SUNNYBANK FARMS LTD,"BLARNEY, Cork,",IE," € 37,931.41 ",2013,Farm Subsidary
JAMES J O'SULLIVAN LTD,"BALLINHASSIG, Cork,",IE," € 37,928.79 ",2013,Farm Subsidary
MICHAEL BERGIN FARMS LTD,"Kilkenny,",IE," € 37,823.18 ",2013,Farm Subsidary
CONWAY FARMS LTD,"BUNCLODY, Wexford,",IE," € 37,528.53 ",2013,Farm Subsidary
MTH FARM LIMITED,"ENNISCORTHY, Wexford,",IE," € 37,523.36 ",2013,Farm Subsidary
DRUMROO FARMS LTD,"Monaghan,",IE," € 37,295.02 ",2013,Farm Subsidary
COUGHLAN FARMING LIMITED,"BALLINA, Mayo,",IE," € 37,089.14 ",2013,Farm Subsidary
LOUGHANSTOWN DAIRY LTD,"DEVLIN, Westmeath,",IE," € 36,942.63 ",2013,Farm Subsidary
UNICORN ECO FOUNDATION LTD,"Cork,",IE," € 36,644.14 ",2013,Farm Subsidary
DENIS DRENNAN FARM LTD,"Kilkenny,",IE," € 36,615.58 ",2013,Farm Subsidary
MOLOZZA UNLIMITED,"Kildare,",IE," € 36,233.15 ",2013,Farm Subsidary
GOLDEN FORT FARMS LTD,"GRANGECON, Wicklow,",IE," € 36,140.05 ",2013,Farm Subsidary
GREENFIELD DAIRY PARTNERS LT,"Kilkenny,",IE," € 35,819.00 ",2013,Farm Subsidary
KILMORE QUAY COMMUNITY DEV,"Wexford,",IE," € 35,560.49 ",2013,Farm Subsidary
KILLONERRY FARMS LTD,"Kilkenny,",IE," € 35,504.71 ",2013,Farm Subsidary
GORMALLY FARMS LTD,"Galway,",IE," € 35,490.03 ",2013,Farm Subsidary
DAVID WALSH FARMS LTD,"PORTLAOISE, Laois,",IE," € 35,448.04 ",2013,Farm Subsidary
SEAMUS MESKILL LTD,"Waterford,",IE," € 35,110.04 ",2013,Farm Subsidary
CLUAINCOOL FARMING LIMITED,"Galway,",IE," € 35,018.47 ",2013,Farm Subsidary
KILLEEN DAIRY FARMS LTD,"Tipperary,",IE," € 34,897.98 ",2013,Farm Subsidary
SOUTH EAST TIMBER LTD,"WELLINGTONBRIDGE, Wexford,",IE," € 34,739.51 ",2013,Farm Subsidary
MARTIN QUIGLEY FARM LTD,"Louth,",IE," € 34,707.88 ",2013,Farm Subsidary
HASTINGS DAIRY CO LTD,"LIFFORD, Donegal,",IE," € 34,579.65 ",2013,Farm Subsidary
M & B O'SULLIVAN LTD,"CASTLEISLAND, Kerry,",IE," € 34,568.78 ",2013,Farm Subsidary
TIR NA RI FARM LTD,"DRUMREE, Meath,",IE," € 34,544.21 ",2013,Farm Subsidary
SHERBOROUGH DEV CO LTD,"Dublin,",IE," € 34,472.32 ",2013,Farm Subsidary
MURPHY FARM PRO ARDRAHAN LTD,"Galway,",IE," € 34,295.47 ",2013,Farm Subsidary
TEAGASC,"ROSCOMMON, Roscommon,",IE," € 34,130.00 ",2013,Farm Subsidary
BALLINDURA FARMS & CO LTD,"CARRIGNAVAR, Cork,",IE," € 33,780.74 ",2013,Farm Subsidary
MURPHY FARMING LTD,"Louth,",IE," € 33,502.90 ",2013,Farm Subsidary
RINGLESTOWN FARM LIMITED,"KILMESSAN, Meath,",IE," € 33,354.62 ",2013,Farm Subsidary
JOHN LUCEY FARM LIMITED,"Cork,",IE," € 33,193.99 ",2013,Farm Subsidary
DUNBIN FARMS LIMITED,"DUNDALK, Louth,",IE," € 32,921.45 ",2013,Farm Subsidary
M T S FARMS LTD,"CLANE, Kildare,",IE," € 32,423.09 ",2013,Farm Subsidary
R.S. STEEL SUPPLIES LTD,"LIFFORD PO, Donegal,",IE," € 32,225.77 ",2013,Farm Subsidary
THE ONE MILE DAIRY LIMITED,"ORANMORE, Galway,",IE," € 31,533.25 ",2013,Farm Subsidary
REA CLARKE & ASSOCIATES LTD,"Mayo,",IE," € 31,400.00 ",2013,Farm Subsidary
P & M FARMS LTD,"PORTLAOISE, Laois,",IE," € 30,899.19 ",2013,Farm Subsidary
REYNOLDS FARM EGGS LIMITED,"NAVAN, Meath,",IE," € 29,776.93 ",2013,Farm Subsidary
CORK MARTS LTD,"Cork,",IE," € 29,444.94 ",2013,Farm Subsidary
PAT HOULIHAN FARM LTD,"Waterford,",IE," € 29,442.91 ",2013,Farm Subsidary
BALRAF LTD,"DONADEA, Kildare,",IE," € 29,249.86 ",2013,Farm Subsidary
RIVERSIDE FARM LTD,"CASTLEBLANEY, Monaghan,",IE," € 29,196.69 ",2013,Farm Subsidary
SILLAN FARMS LIMITED,"Cavan,",IE," € 29,088.49 ",2013,Farm Subsidary
SHELTON ABBEY THE GOVERNOR,"Wicklow,",IE," € 28,673.88 ",2013,Farm Subsidary
ARDNAMOHER FARM LIMITED,"Limerick,",IE," € 28,594.80 ",2013,Farm Subsidary
SEEOLA FARMS LIMITED,"Louth,",IE," € 28,514.67 ",2013,Farm Subsidary
DOLAN FARMING LTD,"CLAREMORRIS, Mayo,",IE," € 28,426.98 ",2013,Farm Subsidary
BALLYHAMLET AGRICULTURE LTD,"TALLOW, Waterford,",IE," € 28,359.85 ",2013,Farm Subsidary
CUAN MHUIRE TRUST,"Limerick,",IE," € 28,143.18 ",2013,Farm Subsidary
DALEVIEW FARM LTD,"Donegal,",IE," € 28,125.19 ",2013,Farm Subsidary
SELENE EQUESTRIAN LIMITED,"NEWHALL NAAS, Kildare,",IE," € 27,489.54 ",2013,Farm Subsidary
DELOUR FARM LTD,"PORTLAOISE, Laois,",IE," € 27,451.14 ",2013,Farm Subsidary
UNIQUE INVENTIONS COMPANYLTD,"Kilkenny,",IE," € 27,369.32 ",2013,Farm Subsidary
FOYFIN DAIRY LIMITED,"Donegal,",IE," € 27,329.64 ",2013,Farm Subsidary
LOUGH ARROW ESTATES LTD,"Roscommon,",IE," € 27,055.60 ",2013,Farm Subsidary
DAWN DAIRIES KILLARNEY MILK,"Kerry,",IE," € 26,734.50 ",2013,Farm Subsidary
CAIRDE CHOLAISTE IDE TEO,"Kerry,",IE," € 26,476.63 ",2013,Farm Subsidary
NEWCASTLE DAIRY FARM LIMITED,"BLARNEY, Cork,",IE," € 26,066.10 ",2013,Farm Subsidary
P & O MC HUGH LTD,"CARRICKMACROSS, Monaghan,",IE," € 25,849.65 ",2013,Farm Subsidary
JONATHAN NYHAN LTD,"BALLINASCARTHY, Cork,",IE," € 25,836.38 ",2013,Farm Subsidary
ST JOSEPH'S MONASTERY,"Galway,",IE," € 25,763.89 ",2013,Farm Subsidary
DERRIN FARM LIMITED,"BORRIS IN OSSORY, Laois,",IE," € 25,616.47 ",2013,Farm Subsidary
GRANGE CUFFE LTD,"GRANGECUFFE, Kilkenny,",IE," € 25,546.35 ",2013,Farm Subsidary
LOUGHREA MART,"Galway,",IE," € 25,048.86 ",2013,Farm Subsidary
MONAGHAN FARMS LTD W M,"NAVAN, Meath,",IE," € 24,869.43 ",2013,Farm Subsidary
COMHAR CHUMANN U CIARRAI,"Kerry,",IE," € 24,774.89 ",2013,Farm Subsidary
LANDBRUG,"BANDON, Cork,",IE," € 24,719.23 ",2013,Farm Subsidary
KAZIMO LTD,"Wexford,",IE," € 24,670.99 ",2013,Farm Subsidary
BLACKOAK FARMS LIMITED,"BAILIEBORO, Cavan,",IE," € 24,355.77 ",2013,Farm Subsidary
BARBA GOAT FARM LIMITED,"COLLINSTOWN, Westmeath,",IE," € 24,310.57 ",2013,Farm Subsidary
GLENDARA FARM LTD,"KILCULLEN, Kildare,",IE," € 23,480.69 ",2013,Farm Subsidary
BALLYVERASSA FARM LTD,"CAHIR, Tipperary,",IE," € 23,130.12 ",2013,Farm Subsidary
CLOUGHJORDAN COMMUNITY FARM,"Tipperary,",IE," € 22,860.60 ",2013,Farm Subsidary
DARTFIELD LTD,"LOUGHREA, Galway,",IE," € 22,822.52 ",2013,Farm Subsidary
TEAGASC,"KILKENNY, Kilkenny,",IE," € 22,590.00 ",2013,Farm Subsidary
TEAGASC,"MULLINGAR, Westmeath,",IE," € 22,380.00 ",2013,Farm Subsidary
PULLEN LTD,"Mayo,",IE," € 22,187.19 ",2013,Farm Subsidary
FARRANCONNOR FARM LIMITED,"Cork,",IE," € 22,140.52 ",2013,Farm Subsidary
MARIA PHELAN LTD,"DURROW, Laois,",IE," € 22,076.33 ",2013,Farm Subsidary
